Station Name,Latitude,Longitude,Name,Categories,Distance,Address,City,Rating,Empty slots
,43.24067,-79.81236,Rankin's Bar & Grill,"Bars, Canadian (New)",892.1022516538264,"1342 Main Street E, Hamilton, ON L8K 1B5, Canada",Hamilton,4.0,
,43.2518983,-79.81892479999999,The Indian Connection Pizza,"Indian, Pizza",486.9849702650825,"1022 Barton Street E, Hamilton, ON L8L 3E4, Canada",Hamilton,5.0,
,43.250709,-79.810321,Boston Pizza,"Italian, Pizza",716.9957193459804,"1219 Barton St E, Hamilton, ON L8H 2V4, Canada",Hamilton,2.5,
,43.25011,-79.81131,Harvey's,"Burgers, Fast Food, American",605.6292025867375,"1200 Barton St E, Hamilton, ON L8H 2V7, Canada",Hamilton,2.0,
,43.25104,-79.81561,Papa Johns Pizza,Pizza,415.5525270807301,"1096 Barton Street E, Hamilton, ON L8H 2V1, Canada",Hamilton,2.0,
,43.2431531544495,-79.8216541483998,Breezy Corners Hamilton,Canadian (New),570.8806610420723,"1145 Main Street E, Hamilton, ON L8M 1P3, Canada",Hamilton,4.5,
,43.2411302,-79.8223127,Buddys Roadhouse,Canadian (New),810.4289158573581,"1360 King Street E, Hamilton, ON L8M 1H5, Canada",Hamilton,2.5,
,43.2494091,-79.8063419,Pita Pit,Sandwiches,995.1145291187286,"1317 Barton Street  E, Hamilton, ON L8H 2V4, Canada",Hamilton,5.0,
,43.2438922,-79.8247115,Pizza Pizza,"Pizza, Italian, Chicken Wings",674.859619406895,"1294 King Street E, Hamilton, ON L8M 1N5, Canada",Hamilton,4.0,
,43.250783,-79.807838,Montfort Mediterranean Grill Express,"Mediterranean, Greek",901.18313992528,"1275 Barton Street E, Centre Mall, Hamilton, ON L8H 2V4, Canada",Hamilton,5.0,
,43.247855,-79.829075,Golden Tenders,"Fast Food, Southern",889.2100672708161,"1150 King Street E, Hamilton, ON L8M 1E8, Canada",Hamilton,5.0,
,43.24497,-79.83023,Connaught Fish & Chips,Seafood,1033.781078106255,"976 Main Street E, Hamilton, ON L8M 1M8, Canada",Hamilton,3.5,
,43.24771,-79.82858,Hi-Line Centre Pizza & Wings,Pizza,889.2100672708161,"1150 King Street E, Hamilton, ON L8M 1E8, Canada",Hamilton,2.5,
,43.23971,-79.80602,Aceti Pizzaria,Pizza,1307.2602121173436,"1491 Main Street E, Hamilton, ON L8K 1C9, Canada",Hamilton,3.0,
,43.2498173,-79.8081514,A&W,"Burgers, Fast Food",905.6237786861606,"1275 Barton Street E, Hamilton, ON L8H 2V4, Canada",Hamilton,5.0,
,43.2414193674455,-79.81417607452514,The End Zone Bar & Grill,"Sports Bars, Breakfast & Brunch, American",751.9993535977756,"1305 Main Street E, Hamilton, ON L8K 1B3, Canada",Hamilton,2.0,
,43.24855,-79.80613,The Parm House,"Italian, Sandwiches, Salad",968.0996771312298,"272 Kenilworth Avenue N, Hamilton, ON L8H 4S9, Canada",Hamilton,3.5,
,43.2498173,-79.8081514,Popeyes Louisiana Kitchen,"Chicken Wings, Fast Food",905.6237786861606,"1275 Barton St E, Hamilton, ON L8H 2V4, Canada",Hamilton,5.0,
,43.24604,-79.80721,Great Wall Restaurant,Cantonese,890.1863176730757,"190 Kenilworth Avenue N, Hamilton, ON L8H 4S2, Canada",Hamilton,2.5,
,43.24401,-79.80807,Tim Hortons,"Coffee & Tea, Donuts, Sandwiches",894.0970656811985,"136 Kenilworth Ave N, Hamilton, ON L8H 4R8, Canada",Hamilton,2.5,
,43.2494091,-79.8063419,Osmow's,Mediterranean,995.1145291187286,"1317 Barton Street E, Hamilton, ON L8H 2V4, Canada",Hamilton,2.5,
,43.2445288,-79.8255335275718,McDonald's,"Fast Food, Burgers, Coffee & Tea",693.8160357140492,"1268 King Street East, Hamilton, ON L8N 1G8, Canada",Hamilton,1.0,
,43.2403199,-79.8105,Original Pizza,Pizza,1018.8307901228824,"1388 Main Street E, Hamilton, ON L8K 1C1, Canada",Hamilton,4.0,
,43.23977,-79.808572,Domino's Pizza,"Pizza, Chicken Wings, Sandwiches",1159.45263889866,"1440 Main Street E, Unit 2, Hamilton, ON L8K 6M3, Canada",Hamilton,3.0,
,43.2498173,-79.8081514,BarBurrito - Hamilton,"Fast Food, Mexican",905.6237786861606,"1275 Barton St E, Hamilton, ON L8H 2V4, Canada",Hamilton,3.5,
,43.24752,-79.82975,The Taco Station,"Mexican, Food Trucks",934.4080739628306,"Hamilton, ON L8M 3C3, Canada",Hamilton,3.0,
,43.24837,-79.82871,Taste of Poland,Polish,869.6641706546485,"1145 King Street E, Hamilton, ON L8K 1C3, Canada",Hamilton,5.0,
