park_name,lat,long
Russell Park,51.522643,-0.12505
Regent's Canal,51.5350979030116,-0.119562149047852
Corams Fields,51.5235598,-0.120122
St George's Gardens,51.5257612,-0.121603
Myddelton Square Park,51.5297,-0.108335
Kings Square Gardens,51.5270695294121,-0.0983695232480907
Joseph Grimaldi Park,51.5312881,-0.11535
Islington Green,51.5362324200429,-0.103071928024292
Spa Fields,51.5255937865318,-0.108261972607207
Northampton Square Garden,51.527282,-0.102286
Islington Visitor Moorings,51.533262,-0.101458
Barnard Park,51.5372802833298,-0.112111725056681
Duncan Terrace Gardens,51.5333627,-0.1033616
Argyle Square,51.529146,-0.12177
Gray's Inn Fields,51.5201730351078,-0.113940238952637
Barnard Park Adventure Playground,51.535416,-0.110164
Charterhouse Square,51.521323,-0.098884
Holland Park,51.5014628,-0.2036111
Kyoto Garden in Holland Park,51.503042999716,-0.204658918082714
Cluny Mews Gardens,51.492208,-0.20053
Leathermarket Gardens,51.5008599259018,-0.0835175409886091
Tanner Street Park,51.5002770763786,-0.080901658230943
Corams Fields,51.5235598,-0.120122
Russell Square,51.522269,-0.125552
St George's Gardens,51.5257612,-0.121603
Tavistock Square,51.5216850426032,-0.126002335967996
Lincoln's Inn,51.516096,-0.116655
Soho Square,51.5152861605951,-0.132200699860137
Bloomsbury Square Gardens,51.5189725003205,-0.130110569750597
Russell Park,51.522643,-0.12505
Ridgmount Gardens,51.521043,-0.1322871
Regent's Canal,51.5350979030116,-0.119562149047852
Corams Fields,51.5235598,-0.120122
St George's Gardens,51.5257612,-0.121603
Myddelton Square Park,51.5297,-0.108335
Kings Square Gardens,51.5270695294121,-0.0983695232480907
Joseph Grimaldi Park,51.5312881,-0.11535
Islington Green,51.5362324200429,-0.103071928024292
Spa Fields,51.5255937865318,-0.108261972607207
Northampton Square Garden,51.527282,-0.102286
Islington Visitor Moorings,51.533262,-0.101458
Barnard Park,51.5372802833298,-0.112111725056681
Duncan Terrace Gardens,51.5333627,-0.1033616
Argyle Square,51.529146,-0.12177
Gray's Inn Fields,51.5201730351078,-0.113940238952637
Barnard Park Adventure Playground,51.535416,-0.110164
Charterhouse Square,51.521323,-0.098884
Holland Park,51.5014628,-0.2036111
Kyoto Garden in Holland Park,51.503042999716,-0.204658918082714
Cluny Mews Gardens,51.492208,-0.20053
Leathermarket Gardens,51.5008599259018,-0.0835175409886091
Tanner Street Park,51.5002770763786,-0.080901658230943
Corams Fields,51.5235598,-0.120122
Russell Square,51.522269,-0.125552
St George's Gardens,51.5257612,-0.121603
Tavistock Square,51.5216850426032,-0.126002335967996
Lincoln's Inn,51.516096,-0.116655
Soho Square,51.5152861605951,-0.132200699860137
Bloomsbury Square Gardens,51.5189725003205,-0.130110569750597
Russell Park,51.522643,-0.12505
Ridgmount Gardens,51.521043,-0.1322871
Gordon Square,51.524819,-0.130488
Regent's Canal,51.5350979030116,-0.119562149047852
Corams Fields,51.5235598,-0.120122
St George's Gardens,51.5257612,-0.121603
Myddelton Square Park,51.5297,-0.108335
Kings Square Gardens,51.5270695294121,-0.0983695232480907
Joseph Grimaldi Park,51.5312881,-0.11535
Islington Green,51.5362324200429,-0.103071928024292
Spa Fields,51.5255937865318,-0.108261972607207
Northampton Square Garden,51.527282,-0.102286
Islington Visitor Moorings,51.533262,-0.101458
Barnard Park,51.5372802833298,-0.112111725056681
Duncan Terrace Gardens,51.5333627,-0.1033616
Argyle Square,51.529146,-0.12177
Gray's Inn Fields,51.5201730351078,-0.113940238952637
Barnard Park Adventure Playground,51.535416,-0.110164
Charterhouse Square,51.521323,-0.098884
Holland Park,51.5014628,-0.2036111
Kyoto Garden in Holland Park,51.503042999716,-0.204658918082714
Cluny Mews Gardens,51.492208,-0.20053
Leathermarket Gardens,51.5008599259018,-0.0835175409886091
Tanner Street Park,51.5002770763786,-0.080901658230943
Corams Fields,51.5235598,-0.120122
Russell Square,51.522269,-0.125552
St George's Gardens,51.5257612,-0.121603
Tavistock Square,51.5216850426032,-0.126002335967996
Lincoln's Inn,51.516096,-0.116655
Soho Square,51.5152861605951,-0.132200699860137
Bloomsbury Square Gardens,51.5189725003205,-0.130110569750597
Russell Park,51.522643,-0.12505
Ridgmount Gardens,51.521043,-0.1322871
Gordon Square,51.524819,-0.130488
Malet Street Gardens,51.5203641899698,-0.129247622561381
Regent's Canal,51.5350979030116,-0.119562149047852
Corams Fields,51.5235598,-0.120122
St George's Gardens,51.5257612,-0.121603
Myddelton Square Park,51.5297,-0.108335
Kings Square Gardens,51.5270695294121,-0.0983695232480907
Joseph Grimaldi Park,51.5312881,-0.11535
Islington Green,51.5362324200429,-0.103071928024292
Spa Fields,51.5255937865318,-0.108261972607207
Northampton Square Garden,51.527282,-0.102286
Islington Visitor Moorings,51.533262,-0.101458
Barnard Park,51.5372802833298,-0.112111725056681
Duncan Terrace Gardens,51.5333627,-0.1033616
Argyle Square,51.529146,-0.12177
Gray's Inn Fields,51.5201730351078,-0.113940238952637
Barnard Park Adventure Playground,51.535416,-0.110164
Charterhouse Square,51.521323,-0.098884
Holland Park,51.5014628,-0.2036111
Kyoto Garden in Holland Park,51.503042999716,-0.204658918082714
Cluny Mews Gardens,51.492208,-0.20053
Leathermarket Gardens,51.5008599259018,-0.0835175409886091
Tanner Street Park,51.5002770763786,-0.080901658230943
Corams Fields,51.5235598,-0.120122
Russell Square,51.522269,-0.125552
St George's Gardens,51.5257612,-0.121603
Tavistock Square,51.5216850426032,-0.126002335967996
Lincoln's Inn,51.516096,-0.116655
Soho Square,51.5152861605951,-0.132200699860137
Bloomsbury Square Gardens,51.5189725003205,-0.130110569750597
Russell Park,51.522643,-0.12505
Ridgmount Gardens,51.521043,-0.1322871
Gordon Square,51.524819,-0.130488
Malet Street Gardens,51.5203641899698,-0.129247622561381
Crabtree Fields,51.5193697663059,-0.134398427108369
Regent's Canal,51.5350979030116,-0.119562149047852
Corams Fields,51.5235598,-0.120122
St George's Gardens,51.5257612,-0.121603
Myddelton Square Park,51.5297,-0.108335
Kings Square Gardens,51.5270695294121,-0.0983695232480907
Joseph Grimaldi Park,51.5312881,-0.11535
Islington Green,51.5362324200429,-0.103071928024292
Spa Fields,51.5255937865318,-0.108261972607207
Northampton Square Garden,51.527282,-0.102286
Islington Visitor Moorings,51.533262,-0.101458
Barnard Park,51.5372802833298,-0.112111725056681
Duncan Terrace Gardens,51.5333627,-0.1033616
Argyle Square,51.529146,-0.12177
Gray's Inn Fields,51.5201730351078,-0.113940238952637
Barnard Park Adventure Playground,51.535416,-0.110164
Charterhouse Square,51.521323,-0.098884
Holland Park,51.5014628,-0.2036111
Kyoto Garden in Holland Park,51.503042999716,-0.204658918082714
Cluny Mews Gardens,51.492208,-0.20053
Leathermarket Gardens,51.5008599259018,-0.0835175409886091
Tanner Street Park,51.5002770763786,-0.080901658230943
Corams Fields,51.5235598,-0.120122
Russell Square,51.522269,-0.125552
St George's Gardens,51.5257612,-0.121603
Tavistock Square,51.5216850426032,-0.126002335967996
Lincoln's Inn,51.516096,-0.116655
Soho Square,51.5152861605951,-0.132200699860137
Bloomsbury Square Gardens,51.5189725003205,-0.130110569750597
Russell Park,51.522643,-0.12505
Ridgmount Gardens,51.521043,-0.1322871
Gordon Square,51.524819,-0.130488
Malet Street Gardens,51.5203641899698,-0.129247622561381
Crabtree Fields,51.5193697663059,-0.134398427108369
Spa Fields,51.5255937865318,-0.108261972607207
Regent's Canal,51.5350979030116,-0.119562149047852
Corams Fields,51.5235598,-0.120122
St George's Gardens,51.5257612,-0.121603
Myddelton Square Park,51.5297,-0.108335
Kings Square Gardens,51.5270695294121,-0.0983695232480907
Joseph Grimaldi Park,51.5312881,-0.11535
Islington Green,51.5362324200429,-0.103071928024292
Spa Fields,51.5255937865318,-0.108261972607207
